"cdf","time","condition"
1,2,"standard"
0.9456,3,"standard"
0.90015,4,"standard"
0.86245,5,"standard"
0.8308,6,"standard"
0.79835,7,"standard"
0.77015,8,"standard"
0.7432,9,"standard"
0.71725,10,"standard"
0.6946,11,"standard"
0.67445,12,"standard"
0.65765,13,"standard"
0.64045,14,"standard"
0.62505,15,"standard"
0.61205,16,"standard"
0.59715,17,"standard"
0.58305,18,"standard"
0.5706,19,"standard"
0.56055,20,"standard"
0.54895,21,"standard"
0.5392,22,"standard"
0.5305,23,"standard"
0.522,24,"standard"
0.51265,25,"standard"
0.5042,26,"standard"
0.4962,27,"standard"
0.48845,28,"standard"
0.48115,29,"standard"
0.4752,30,"standard"
0.46865,31,"standard"
0.46295,32,"standard"
0.45755,33,"standard"
0.45255,34,"standard"
0.44685,35,"standard"
0.44215,36,"standard"
0.43695,37,"standard"
0.43155,38,"standard"
0.4271,39,"standard"
0.4225,40,"standard"
0.41825,41,"standard"
0.41415,42,"standard"
0.40995,43,"standard"
0.4059,44,"standard"
0.4018,45,"standard"
0.3976,46,"standard"
0.39345,47,"standard"
0.38965,48,"standard"
0.38705,49,"standard"
0.383,50,"standard"
0.37975,51,"standard"
0.37735,52,"standard"
0.3738,53,"standard"
0.37055,54,"standard"
0.36765,55,"standard"
0.36535,56,"standard"
0.36265,57,"standard"
0.35985,58,"standard"
0.3576,59,"standard"
0.35495,60,"standard"
0.35255,61,"standard"
0.3499,62,"standard"
0.34775,63,"standard"
0.3449,64,"standard"
0.3423,65,"standard"
0.33945,66,"standard"
0.33675,67,"standard"
0.33485,68,"standard"
0.33235,69,"standard"
0.33065,70,"standard"
0.32855,71,"standard"
0.32605,72,"standard"
0.32395,73,"standard"
0.3219,74,"standard"
0.3201,75,"standard"
0.31835,76,"standard"
0.31685,77,"standard"
0.31495,78,"standard"
0.3131,79,"standard"
0.31135,80,"standard"
0.30975,81,"standard"
0.30795,82,"standard"
0.30605,83,"standard"
0.3041,84,"standard"
0.30175,85,"standard"
0.3001,86,"standard"
0.2977,87,"standard"
0.29605,88,"standard"
0.2943,89,"standard"
0.29325,90,"standard"
0.292,91,"standard"
0.2906,92,"standard"
0.289,93,"standard"
0.28775,94,"standard"
0.28595,95,"standard"
0.28415,96,"standard"
0.28285,97,"standard"
0.28155,98,"standard"
0.28025,99,"standard"
0.27885,100,"standard"
0.27765,101,"standard"
0.27645,102,"standard"
0.27475,103,"standard"
0.2735,104,"standard"
0.2724,105,"standard"
0.2714,106,"standard"
0.27045,107,"standard"
0.26905,108,"standard"
0.2676,109,"standard"
0.2661,110,"standard"
0.26475,111,"standard"
0.264,112,"standard"
0.26275,113,"standard"
0.26205,114,"standard"
0.2609,115,"standard"
0.25985,116,"standard"
0.25885,117,"standard"
0.2573,118,"standard"
0.256,119,"standard"
0.25485,120,"standard"
0.2537,121,"standard"
0.25265,122,"standard"
0.2515,123,"standard"
0.2504,124,"standard"
0.24945,125,"standard"
0.24845,126,"standard"
0.24745,127,"standard"
0.24625,128,"standard"
0.24555,129,"standard"
0.24495,130,"standard"
0.2437,131,"standard"
0.2427,132,"standard"
0.2421,133,"standard"
0.24125,134,"standard"
0.24045,135,"standard"
0.2396,136,"standard"
0.2386,137,"standard"
0.2378,138,"standard"
0.2366,139,"standard"
0.23615,140,"standard"
0.235,141,"standard"
0.2343,142,"standard"
0.23335,143,"standard"
0.2325,144,"standard"
0.232,145,"standard"
0.23115,146,"standard"
0.2296,147,"standard"
0.2286,148,"standard"
0.2278,149,"standard"
0.2272,150,"standard"
0.2262,151,"standard"
0.2255,152,"standard"
0.22495,153,"standard"
0.2242,154,"standard"
0.22335,155,"standard"
0.2226,156,"standard"
0.222,157,"standard"
0.2212,158,"standard"
0.2207,159,"standard"
0.22,160,"standard"
0.21945,161,"standard"
0.21875,162,"standard"
