"st1","st2","t_fin1","t_fin2","condition"
0,0,8,9,"standard"
0,0,44,38,"standard"
0,0,21,45,"standard"
0,0,4,11,"standard"
0,0,10,2,"standard"
0,0,4,8,"standard"
0,0,157,137,"standard"
0,0,6,16,"standard"
0,0,13,14,"standard"
0,0,7,5,"standard"
0,0,4,29,"standard"
0,0,550,550,"standard"
119,224,1000,1000,"standard"
0,0,4,7,"standard"
0,0,51,50,"standard"
0,0,2,48,"standard"
0,0,2,493,"standard"
0,0,31,31,"standard"
0,0,44,336,"standard"
0,0,2,11,"standard"
0,0,2,25,"standard"
0,0,7,10,"standard"
0,0,79,32,"standard"
0,0,217,201,"standard"
0,0,289,276,"standard"
0,0,108,111,"standard"
0,0,21,21,"standard"
0,0,133,8,"standard"
0,0,12,16,"standard"
0,0,12,40,"standard"
0,0,60,6,"standard"
0,0,221,223,"standard"
0,0,310,121,"standard"
0,0,538,541,"standard"
0,0,13,43,"standard"
0,0,4,2,"standard"
0,0,285,287,"standard"
0,0,13,17,"standard"
0,0,72,24,"standard"
0,0,19,47,"standard"
0,0,7,22,"standard"
148,386,1000,1000,"standard"
0,0,15,4,"standard"
0,0,12,343,"standard"
0,0,17,25,"standard"
0,0,3,17,"standard"
0,0,3,30,"standard"
0,0,5,13,"standard"
0,0,39,264,"standard"
0,0,487,599,"standard"
0,0,24,15,"standard"
148,282,1000,1000,"standard"
0,0,20,15,"standard"
0,0,98,97,"standard"
0,0,52,67,"standard"
0,0,2,5,"standard"
0,0,7,6,"standard"
0,0,544,546,"standard"
78,569,1000,1000,"standard"
0,0,17,17,"standard"
0,0,13,14,"standard"
0,172,6,1000,"standard"
0,0,5,2,"standard"
0,0,11,29,"standard"
0,0,14,15,"standard"
0,0,6,11,"standard"
0,0,2,3,"standard"
0,0,2,10,"standard"
0,0,770,779,"standard"
0,0,70,28,"standard"
0,0,87,512,"standard"
0,0,147,145,"standard"
0,0,805,868,"standard"
0,0,7,21,"standard"
0,0,27,27,"standard"
0,0,11,11,"standard"
0,0,3,3,"standard"
0,0,85,5,"standard"
0,0,685,682,"standard"
0,0,182,6,"standard"
0,0,547,7,"standard"
0,0,425,428,"standard"
0,0,8,11,"standard"
0,0,309,7,"standard"
0,0,27,5,"standard"
0,0,5,3,"standard"
0,0,4,2,"standard"
0,0,10,4,"standard"
0,0,3,14,"standard"
0,0,8,4,"standard"
0,0,7,20,"standard"
0,0,7,2,"standard"
0,0,11,14,"standard"
0,0,42,44,"standard"
0,0,4,16,"standard"
0,0,3,3,"standard"
0,0,142,141,"standard"
0,0,924,6,"standard"
0,0,834,833,"standard"
0,0,2,2,"standard"
0,0,102,102,"standard"
0,0,4,4,"standard"
0,0,14,14,"standard"
0,0,3,5,"standard"
0,0,36,15,"standard"
0,0,5,10,"standard"
0,0,4,5,"standard"
0,0,18,25,"standard"
0,0,7,7,"standard"
0,0,26,851,"standard"
0,0,5,8,"standard"
0,0,25,51,"standard"
0,0,36,35,"standard"
104,600,1000,1000,"standard"
0,0,278,271,"standard"
145,76,1000,1000,"standard"
0,0,15,15,"standard"
0,0,454,448,"standard"
0,0,8,3,"standard"
0,0,4,3,"standard"
0,0,80,84,"standard"
0,0,812,817,"standard"
0,0,14,2,"standard"
0,0,18,20,"standard"
0,0,6,7,"standard"
0,0,673,670,"standard"
0,0,4,12,"standard"
0,0,5,11,"standard"
0,0,519,519,"standard"
0,0,239,240,"standard"
292,178,1000,1000,"standard"
0,0,23,45,"standard"
0,0,6,4,"standard"
0,0,23,6,"standard"
0,0,72,10,"standard"
212,164,1000,1000,"standard"
0,0,109,5,"standard"
