"st1","st2","t_fin1","t_fin2","condition"
0,0,12,19,"standard"
0,0,7,43,"standard"
0,0,8,14,"standard"
0,0,6,38,"standard"
0,0,18,21,"standard"
0,0,10,17,"standard"
99,222,1000,1000,"standard"
244,338,1000,1000,"standard"
0,0,4,4,"standard"
0,0,152,142,"standard"
0,0,156,95,"standard"
0,0,5,4,"standard"
0,0,7,70,"standard"
0,0,13,8,"standard"
0,0,17,2,"standard"
0,0,4,9,"standard"
250,112,1000,1000,"standard"
0,0,88,36,"standard"
0,0,317,318,"standard"
0,0,38,37,"standard"
0,0,10,34,"standard"
0,0,179,153,"standard"
0,0,42,42,"standard"
0,0,693,695,"standard"
0,0,14,279,"standard"
0,0,88,83,"standard"
0,0,45,38,"standard"
0,0,156,29,"standard"
0,0,395,385,"standard"
0,0,527,546,"standard"
520,600,1000,1000,"standard"
0,0,42,46,"standard"
0,0,3,3,"standard"
0,0,347,9,"standard"
0,0,350,349,"standard"
0,0,348,341,"standard"
0,0,42,50,"standard"
0,0,11,2,"standard"
0,0,20,26,"standard"
0,0,4,44,"standard"
0,0,2,33,"standard"
0,0,107,104,"standard"
0,0,3,9,"standard"
0,0,83,88,"standard"
0,0,635,625,"standard"
0,0,12,11,"standard"
0,0,12,18,"standard"
0,0,23,33,"standard"
0,0,269,267,"standard"
0,0,58,22,"standard"
0,0,107,107,"standard"
0,0,5,41,"standard"
0,0,3,208,"standard"
0,0,24,31,"standard"
0,0,18,18,"standard"
0,0,108,104,"standard"
0,0,149,148,"standard"
600,0,1000,723,"standard"
0,0,14,794,"standard"
0,0,8,9,"standard"
0,0,10,5,"standard"
0,0,22,6,"standard"
0,0,72,99,"standard"
0,0,107,6,"standard"
0,0,23,2,"standard"
0,0,10,16,"standard"
0,427,140,1000,"standard"
0,0,68,70,"standard"
0,0,130,126,"standard"
0,0,28,28,"standard"
0,0,312,334,"standard"
0,0,5,2,"standard"
0,0,2,95,"standard"
0,0,8,105,"standard"
0,0,8,9,"standard"
0,0,20,45,"standard"
0,0,19,10,"standard"
361,192,1000,1000,"standard"
0,0,10,20,"standard"
0,0,5,172,"standard"
0,0,2,3,"standard"
0,0,3,7,"standard"
0,0,699,693,"standard"
0,0,6,4,"standard"
0,0,37,37,"standard"
0,377,19,1000,"standard"
0,0,14,14,"standard"
0,0,16,14,"standard"
0,0,9,9,"standard"
0,0,9,3,"standard"
0,0,23,23,"standard"
254,491,1000,1000,"standard"
0,0,853,883,"standard"
0,0,24,24,"standard"
0,0,671,668,"standard"
0,0,10,8,"standard"
0,0,4,4,"standard"
0,0,11,6,"standard"
0,0,36,29,"standard"
0,0,17,2,"standard"
0,0,15,16,"standard"
0,0,38,40,"standard"
0,0,2,160,"standard"
0,0,52,27,"standard"
0,0,39,12,"standard"
0,0,60,57,"standard"
0,0,367,2,"standard"
0,0,241,164,"standard"
0,0,99,99,"standard"
0,0,258,252,"standard"
0,0,10,35,"standard"
0,0,21,26,"standard"
0,0,16,25,"standard"
0,0,199,203,"standard"
0,0,199,32,"standard"
0,0,36,8,"standard"
0,0,24,3,"standard"
0,0,11,12,"standard"
153,576,1000,1000,"standard"
0,0,12,136,"standard"
0,0,200,22,"standard"
0,0,2,9,"standard"
0,0,52,58,"standard"
0,0,6,9,"standard"
600,0,1000,5,"standard"
0,0,476,44,"standard"
0,0,13,113,"standard"
0,0,78,39,"standard"
0,0,60,4,"standard"
0,0,442,441,"standard"
0,0,13,102,"standard"
0,0,53,53,"standard"
0,0,2,3,"standard"
0,0,512,503,"standard"
0,0,62,73,"standard"
0,0,48,39,"standard"
0,0,38,3,"standard"
0,0,822,820,"standard"
0,0,7,7,"standard"
0,0,4,7,"standard"
0,0,4,4,"standard"
0,0,13,6,"standard"
