"st1","st2","st3","t_fin1","t_fin2","t_fin3","condition"
0,0,0,31,3,29,"standard"
0,0,0,146,8,149,"standard"
0,0,0,7,4,8,"standard"
0,0,0,21,129,138,"standard"
0,0,0,129,126,34,"standard"
0,0,0,7,7,18,"standard"
0,0,0,13,2,2,"standard"
0,0,0,410,418,368,"standard"
0,0,0,47,14,15,"standard"
0,0,0,6,7,7,"standard"
0,0,0,2,2,122,"standard"
0,0,0,18,45,44,"standard"
0,0,0,44,43,43,"standard"
0,0,0,851,850,59,"standard"
0,0,0,39,34,73,"standard"
0,0,0,6,3,4,"standard"
0,0,0,7,2,6,"standard"
171,89,212,1000,1000,1000,"standard"
0,0,0,11,9,23,"standard"
0,73,440,554,1000,1000,"standard"
0,0,0,10,4,3,"standard"
0,0,0,29,27,2,"standard"
0,0,0,16,280,12,"standard"
0,0,0,944,853,12,"standard"
0,0,0,9,6,21,"standard"
0,0,0,306,2,283,"standard"
0,0,0,5,899,893,"standard"
0,0,0,8,3,2,"standard"
0,0,0,19,8,18,"standard"
0,0,0,353,16,17,"standard"
0,0,0,6,54,7,"standard"
0,0,0,4,2,24,"standard"
0,0,0,21,24,34,"standard"
0,0,0,319,3,319,"standard"
0,0,0,39,6,72,"standard"
0,0,0,29,9,38,"standard"
0,0,0,11,22,5,"standard"
0,0,0,180,540,540,"standard"
176,0,193,1000,95,1000,"standard"
0,0,0,668,619,40,"standard"
0,0,0,40,3,3,"standard"
0,0,0,4,16,18,"standard"
0,0,0,31,14,26,"standard"
0,0,0,23,14,12,"standard"
139,0,72,1000,451,1000,"standard"
0,0,0,8,6,10,"standard"
0,0,0,8,154,9,"standard"
0,0,0,6,28,6,"standard"
0,0,0,12,6,12,"standard"
0,0,0,17,5,11,"standard"
0,0,0,15,285,94,"standard"
0,0,0,3,19,7,"standard"
0,0,0,643,637,21,"standard"
0,114,0,919,1000,7,"standard"
0,0,0,11,18,23,"standard"
0,0,0,20,16,7,"standard"
0,0,0,5,2,19,"standard"
0,0,0,12,570,558,"standard"
0,0,0,314,800,809,"standard"
0,0,0,23,18,65,"standard"
0,416,523,49,1000,1000,"standard"
0,0,0,29,21,41,"standard"
0,0,0,821,478,779,"standard"
0,0,0,3,3,106,"standard"
0,0,0,137,183,182,"standard"
0,0,0,479,11,57,"standard"
0,0,0,17,48,33,"standard"
0,0,0,2,2,2,"standard"
0,0,60,990,6,1000,"standard"
0,0,0,28,6,9,"standard"
0,0,0,31,25,56,"standard"
0,0,0,28,2,5,"standard"
0,0,0,124,79,96,"standard"
0,0,0,19,5,7,"standard"
0,0,0,123,214,12,"standard"
0,0,0,7,8,5,"standard"
0,0,0,822,344,830,"standard"
0,0,0,14,14,5,"standard"
0,364,356,520,1000,1000,"standard"
0,0,0,38,28,27,"standard"
147,145,0,1000,1000,12,"standard"
0,0,0,799,296,790,"standard"
0,0,0,14,7,21,"standard"
0,0,0,52,175,170,"standard"
0,0,0,239,239,61,"standard"
0,0,0,131,131,664,"standard"
0,0,0,163,106,91,"standard"
0,0,0,368,48,203,"standard"
0,0,0,68,100,89,"standard"
0,0,0,293,57,284,"standard"
0,0,0,127,115,7,"standard"
0,0,0,3,2,7,"standard"
0,0,0,16,17,12,"standard"
0,0,0,404,404,394,"standard"
0,270,126,8,1000,1000,"standard"
0,0,0,17,164,32,"standard"
349,0,116,1000,19,1000,"standard"
0,0,0,53,632,633,"standard"
0,0,0,4,156,157,"standard"
0,152,170,390,1000,1000,"standard"
0,0,0,52,53,85,"standard"
0,0,0,80,73,24,"standard"
0,0,0,37,33,6,"standard"
0,0,0,31,46,19,"standard"
0,0,0,3,14,10,"standard"
0,0,0,14,27,8,"standard"
0,0,0,2,2,5,"standard"
0,0,0,530,8,532,"standard"
0,0,0,380,202,4,"standard"
0,0,0,19,21,4,"standard"
0,0,0,6,21,21,"standard"
0,0,0,32,21,33,"standard"
0,0,0,5,137,183,"standard"
0,0,0,286,47,46,"standard"
0,0,0,6,4,14,"standard"
0,0,0,3,14,4,"standard"
0,0,0,3,16,80,"standard"
0,0,0,5,8,20,"standard"
0,0,0,13,3,2,"standard"
0,0,0,18,4,2,"standard"
0,0,0,270,132,5,"standard"
0,0,0,35,37,76,"standard"
0,0,0,4,14,12,"standard"
0,0,0,12,4,13,"standard"
0,0,0,5,388,381,"standard"
339,0,215,1000,13,1000,"standard"
0,0,0,17,8,17,"standard"
0,0,0,32,34,15,"standard"
0,0,0,6,200,192,"standard"
0,0,0,10,13,11,"standard"
0,0,0,9,558,665,"standard"
0,0,0,16,2,7,"standard"
141,97,599,1000,1000,1000,"standard"
0,0,0,17,35,37,"standard"
0,117,127,30,1000,1000,"standard"
0,0,0,13,13,25,"standard"
0,0,0,4,10,12,"standard"
0,0,0,5,26,4,"standard"
0,0,0,7,14,13,"standard"
0,0,0,596,2,596,"standard"
0,0,0,130,113,80,"standard"
0,0,0,415,58,417,"standard"
0,0,0,58,13,5,"standard"
0,0,0,29,23,14,"standard"
0,0,0,6,64,6,"standard"
0,0,0,2,20,18,"standard"
0,0,0,48,43,20,"standard"
0,0,0,189,91,108,"standard"
0,0,0,61,2,66,"standard"
0,0,0,53,309,303,"standard"
0,0,0,116,118,113,"standard"
0,0,0,8,42,10,"standard"
506,0,283,1000,15,1000,"standard"
0,0,0,75,75,54,"standard"
0,0,0,22,22,28,"standard"
0,0,0,744,747,8,"standard"
0,0,0,9,15,42,"standard"
0,0,0,25,29,2,"standard"
0,0,0,5,5,9,"standard"
0,0,0,790,3,787,"standard"
0,0,0,14,18,8,"standard"
0,0,0,244,171,236,"standard"
0,0,0,19,16,16,"standard"
0,0,0,26,27,24,"standard"
0,0,0,110,365,338,"standard"
0,0,0,7,220,18,"standard"
0,0,0,6,11,15,"standard"
0,0,0,70,78,3,"standard"
0,0,0,51,13,41,"standard"
0,0,0,7,26,21,"standard"
0,0,0,24,2,23,"standard"
0,0,0,23,27,20,"standard"
0,0,0,337,338,103,"standard"
0,0,0,333,332,42,"standard"
0,0,0,25,12,19,"standard"
0,0,0,12,14,13,"standard"
0,0,0,689,153,687,"standard"
0,0,0,2,2,3,"standard"
107,126,71,1000,1000,1000,"standard"
0,0,0,70,107,112,"standard"
0,0,0,10,8,2,"standard"
0,0,0,186,115,164,"standard"
0,0,0,10,16,14,"standard"
0,0,0,134,6,141,"standard"
0,0,0,71,94,62,"standard"
156,327,0,1000,1000,21,"standard"
0,0,0,3,13,2,"standard"
0,0,0,5,11,5,"standard"
0,0,0,19,9,6,"standard"
0,0,0,693,43,688,"standard"
0,0,0,129,132,126,"standard"
0,0,0,61,16,13,"standard"
0,0,0,31,7,29,"standard"
0,0,0,636,694,929,"standard"
0,0,0,27,27,2,"standard"
0,0,0,7,11,8,"standard"
0,0,0,56,86,38,"standard"
0,0,0,85,42,158,"standard"
0,0,0,21,24,15,"standard"
184,355,67,1000,1000,1000,"standard"
0,0,0,53,4,54,"standard"
0,0,0,8,8,7,"standard"
0,0,0,7,16,16,"standard"
0,0,0,2,6,11,"standard"
0,0,0,6,7,2,"standard"
0,0,0,6,21,13,"standard"
0,0,0,12,363,13,"standard"
0,0,0,468,464,105,"standard"
0,0,0,67,12,94,"standard"
0,0,0,158,155,2,"standard"
0,0,0,471,548,545,"standard"
0,0,0,97,95,93,"standard"
0,0,0,9,4,25,"standard"
0,0,0,15,15,16,"standard"
0,0,0,52,43,44,"standard"
0,0,0,17,325,17,"standard"
0,0,0,5,751,753,"standard"
0,0,0,263,3,5,"standard"
0,0,0,52,3,11,"standard"
0,0,0,13,24,13,"standard"
0,0,0,18,44,44,"standard"
0,0,0,8,12,3,"standard"
0,0,0,6,600,641,"standard"
0,0,0,12,23,2,"standard"
0,0,0,204,227,239,"standard"
0,0,0,32,938,936,"standard"
0,0,0,144,410,413,"standard"
0,0,0,6,7,10,"standard"
