"st1","st2","st3","t_fin1","t_fin2","t_fin3","condition"
0,0,0,279,550,23,"standard"
0,0,0,153,465,157,"standard"
0,0,0,33,6,27,"standard"
0,0,0,72,257,5,"standard"
0,0,0,9,511,515,"standard"
0,0,0,153,116,780,"standard"
0,0,0,16,8,7,"standard"
0,0,0,19,17,6,"standard"
0,0,0,811,429,815,"standard"
0,0,0,406,18,478,"standard"
0,0,0,5,192,5,"standard"
0,0,0,115,4,104,"standard"
0,0,0,51,25,29,"standard"
600,137,423,1000,1000,1000,"standard"
0,0,0,36,51,2,"standard"
0,0,0,17,24,3,"standard"
0,0,0,3,3,57,"standard"
0,0,0,616,614,597,"standard"
0,0,0,18,2,7,"standard"
0,0,0,27,33,33,"standard"
0,0,0,28,27,23,"standard"
0,0,0,25,15,26,"standard"
0,0,0,47,46,51,"standard"
0,0,0,3,27,13,"standard"
0,0,0,19,12,17,"standard"
0,0,0,10,71,64,"standard"
110,597,64,1000,1000,1000,"standard"
0,0,0,13,5,5,"standard"
0,0,0,12,4,13,"standard"
0,0,0,11,3,12,"standard"
0,0,0,11,5,12,"standard"
0,0,0,5,9,3,"standard"
0,0,0,3,39,13,"standard"
0,0,0,35,42,279,"standard"
0,0,0,80,38,21,"standard"
0,0,0,33,40,27,"standard"
0,0,0,755,200,750,"standard"
0,0,0,737,745,3,"standard"
0,0,0,139,259,316,"standard"
0,0,0,2,2,2,"standard"
0,0,0,120,19,64,"standard"
0,261,0,850,1000,12,"standard"
0,0,0,264,267,269,"standard"
0,0,0,49,2,3,"standard"
0,0,0,428,422,2,"standard"
0,0,0,7,80,79,"standard"
0,0,0,36,4,5,"standard"
0,0,0,23,15,156,"standard"
0,0,0,23,18,8,"standard"
0,0,0,12,4,4,"standard"
0,0,0,33,4,7,"standard"
0,0,0,2,4,13,"standard"
0,0,0,65,75,65,"standard"
0,0,0,67,39,26,"standard"
0,0,0,607,7,608,"standard"
0,0,0,3,39,3,"standard"
0,130,268,24,1000,1000,"standard"
0,0,0,216,217,25,"standard"
0,0,0,43,10,51,"standard"
0,0,0,32,905,908,"standard"
0,0,0,270,255,267,"standard"
0,0,0,29,27,23,"standard"
0,223,600,429,1000,1000,"standard"
0,0,0,7,12,8,"standard"
0,0,0,23,9,419,"standard"
0,0,0,264,262,71,"standard"
0,0,0,88,95,88,"standard"
0,0,0,18,477,2,"standard"
0,0,0,492,309,311,"standard"
0,0,0,8,3,2,"standard"
0,0,0,28,19,6,"standard"
0,0,0,8,268,264,"standard"
0,0,0,11,5,11,"standard"
0,0,0,419,319,43,"standard"
0,0,0,19,17,16,"standard"
0,0,0,8,3,2,"standard"
0,0,0,38,27,36,"standard"
0,0,0,16,166,41,"standard"
0,0,0,601,298,599,"standard"
210,201,397,1000,1000,1000,"standard"
0,0,0,65,119,2,"standard"
0,0,0,13,65,55,"standard"
0,0,0,144,144,4,"standard"
0,0,0,35,30,38,"standard"
0,0,0,730,4,740,"standard"
0,0,0,2,17,12,"standard"
0,0,0,10,8,10,"standard"
0,0,0,209,317,25,"standard"
0,0,0,7,8,4,"standard"
0,0,0,108,7,30,"standard"
0,0,0,13,13,14,"standard"
0,0,0,48,7,95,"standard"
0,0,0,3,5,14,"standard"
0,0,0,58,31,21,"standard"
0,0,0,112,67,103,"standard"
330,494,0,1000,1000,194,"standard"
0,0,0,11,4,7,"standard"
0,76,170,27,1000,1000,"standard"
0,0,0,86,154,194,"standard"
0,0,0,9,2,6,"standard"
0,0,0,54,54,2,"standard"
0,0,0,79,95,39,"standard"
0,0,0,24,30,32,"standard"
0,0,0,77,25,69,"standard"
0,0,0,12,8,9,"standard"
0,0,0,34,42,3,"standard"
0,0,0,164,170,165,"standard"
0,0,0,22,13,6,"standard"
0,0,0,122,275,60,"standard"
0,0,0,28,5,9,"standard"
0,0,0,82,14,79,"standard"
76,205,187,1000,1000,1000,"standard"
0,0,0,6,4,8,"standard"
177,0,153,1000,208,1000,"standard"
0,0,0,40,5,40,"standard"
0,0,0,4,5,2,"standard"
0,0,0,7,28,9,"standard"
0,0,0,242,241,17,"standard"
0,0,0,45,520,544,"standard"
0,0,0,21,9,12,"standard"
0,0,0,17,26,5,"standard"
0,0,0,17,28,27,"standard"
0,0,0,360,360,116,"standard"
